-3.6,"['2014 Steven Adams', '2015 Jeff Green', '2015 Markel Brown', '2015 Jarrett Jack', '2016 Norris Cole', '2016 Tyus Jones', '2016 Austin Rivers', '2016 Jerian Grant', '2017 Paul Zipser', '2018 Derrick Rose', '2018 Malachi Richardson', '2018 Zhou Qi']"
-3.5,"['2014 Ognjen Kuzmic', '2014 Gorgui Dieng', '2015 Luke Babbitt', '2015 James Jones', '2015 Chase Budinger', '2015 Dion Waiters', '2015 Furkan Aldemir', '2017 Lavoy Allen', '2017 Reggie Jackson', '2018 Thon Maker', '2018 Jason Smith']"
-3.4,"['2014 Chris Singleton', '2016 Myles Turner', '2016 Jameer Nelson', '2016 Brandon Rush', '2017 Jaylen Brown', '2017 Cheick Diallo', '2017 Alec Burks', '2017 Pascal Siakam', '2018 Corey Brewer', '2018 Jahlil Okafor', '2018 Aaron Brooks']"
-3.3,"['2014 Jordan Hill', '2014 Trevor Booker', '2014 Nando De Colo', '2015 Kyle Anderson', '2015 Cole Aldrich', '2015 Jerome Jordan', '2015 Jodie Meeks', '2015 JaVale McGee', '2015 Allen Crabbe', '2015 Kostas Papanikolaou', '2016 Tyler Ennis', '2016 Pat Connaughton', '2017 Aaron Brooks', '2017 Ivica Zubac', '2017 Jeff Green', '2018 Zach LaVine', '2018 Josh Huestis', '2018 Lance Stephenson']"
-3.2,"['2014 Marco Belinelli', '2014 Arron Afflalo', '2014 Brandon Knight', '2014 Jarrett Jack', '2014 Alex Len', '2015 A.J. Price', '2015 Rajon Rondo', '2016 James Young', '2016 Mario Hezonja', '2016 Gerald Henderson', '2016 Derrick Williams', '2016 Jabari Parker', '2016 Arron Afflalo', '2017 Donatas Motiejunas', '2017 Buddy Hield', '2018 Skal Labissiere', '2018 Malik Beasley']"
-3.1,"['2014 Travis Outlaw', '2014 Norris Cole', '2014 Keith Bogans', '2014 Kevin Seraphin', '2014 Aaron Brooks', '2015 Norris Cole', '2015 Marco Belinelli', '2015 Bruno Caboclo', '2015 Marcus Thornton', '2016 Noah Vonleh', '2016 Trey Burke', '2016 Jordan Hamilton', '2016 Dante Cunningham', '2017 Jarell Martin', '2017 Boris Diaw', '2017 Deyonta Davis', '2017 Isaiah Whitehead', '2018 Brandon Jennings', '2018 Justin Jackson', '2018 Gorgui Dieng', '2018 Dion Waiters', '2018 Furkan Korkmaz', '2018 Jawun Evans', '2018 Evan Turner']"
-3.0,"['2014 Tyreke Evans', '2014 Jordan Farmar', '2014 Jordan Hamilton', '2014 Michael Carter-Williams', '2014 Bernard James', '2014 Mason Plumlee', '2015 Jon Leuer', '2015 Alec Burks', '2015 Charlie Villanueva', '2015 Chris Douglas-Roberts', '2015 Gerald Green', '2017 Monta Ellis', '2017 Noah Vonleh', '2017 Spencer Hawes', '2017 Ed Davis', '2017 Norris Cole', '2017 Kris Dunn', '2017 Zach LaVine', '2017 Leandro Barbosa', '2017 Jake Layman', '2017 Ramon Sessions', '2018 Jarell Martin', '2018 Tyler Ulis', '2018 Joffrey Lauvergne']"
-2.9,"['2014 Tyler Hansbrough', '2014 O.J. Mayo', '2014 Harrison Barnes', '2014 Eric Gordon', '2015 Jerryd Bayless', '2015 Jameer Nelson', '2015 Arron Afflalo', '2015 Austin Daye', '2016 Shane Larkin', '2016 Roy Hibbert', '2017 Evan Turner', '2017 Josh McRoberts', '2018 Jabari Parker', '2018 Jodie Meeks', '2018 Nik Stauskas', '2018 DeAndre Liggins', '2018 Deyonta Davis']"
-2.8,"['2014 Brandon Rush', '2014 Jerryd Bayless', '2014 Evan Turner', '2015 Greivis Vasquez', '2015 Ramon Sessions', '2015 Noah Vonleh', '2015 Jimmer Fredette', '2015 Isaiah Canaan', '2015 Grant Jerrett', '2015 Anderson Varejao', '2015 John Henson', '2015 Jamaal Franklin', '2015 Jeremy Lamb', '2016 Lance Stephenson', '2017 Kyle Korver', '2017 Jordan Mickey', '2017 Shelvin Mack', '2017 Dejounte Murray', '2017 Sergio Rodriguez', '2017 Georgios Papagiannis', '2017 Dante Exum', '2018 Jake Layman']"
-2.7,"['2014 Jonas Valanciunas', '2014 Mo Williams', '2014 Derrick Williams', '2014 Reggie Bullock', '2014 Jordan Crawford', '2015 Quincy Acy', '2015 Kris Humphries', '2015 Ryan Kelly', ""2015 E'Twaun Moore"", '2015 Trey Burke', '2015 Enes Kanter', '2016 Glenn Robinson III', '2016 Kyle Singler', '2016 Miles Plumlee', '2016 Tyler Zeller', '2016 Stanley Johnson', '2017 Jerryd Bayless', '2017 Trey Lyles', '2017 Shaun Livingston', '2017 Mike Scott', '2017 Gerald Green', '2018 Avery Bradley', '2018 Ivan Rabb', '2018 Demetrius Jackson']"
